"yearmonth","country","value"
200001,"Afghanistan",60538
200002,"Afghanistan",21641
200003,"Afghanistan",28603
200004,"Afghanistan",34781
200005,"Afghanistan",3130
200006,"Afghanistan",11199
200007,"Afghanistan",120428
200008,"Afghanistan",4007
200009,"Afghanistan",15339
200010,"Afghanistan",25627
200012,"Afghanistan",62537
200101,"Afghanistan",34697
200102,"Afghanistan",62756
200103,"Afghanistan",25817
200104,"Afghanistan",55475
200105,"Afghanistan",21363
200107,"Afghanistan",6834
200108,"Afghanistan",5923
200110,"Afghanistan",864
200111,"Afghanistan",12840
200112,"Afghanistan",6821
200201,"Afghanistan",51993
200203,"Afghanistan",34763
200204,"Afghanistan",31887
200205,"Afghanistan",27565
200206,"Afghanistan",125
200207,"Afghanistan",1233
200208,"Afghanistan",16847
200209,"Afghanistan",41680
200210,"Afghanistan",88247
200211,"Afghanistan",54184
200212,"Afghanistan",702
200301,"Afghanistan",5933
200302,"Afghanistan",20178
200303,"Afghanistan",14527
200304,"Afghanistan",27933
200305,"Afghanistan",5401
200306,"Afghanistan",20835
200307,"Afghanistan",22130
200308,"Afghanistan",1328
200309,"Afghanistan",32676
200310,"Afghanistan",24822
200311,"Afghanistan",46421
200312,"Afghanistan",1943
200401,"Afghanistan",3636
200402,"Afghanistan",857
200403,"Afghanistan",7114
200404,"Afghanistan",3897
200405,"Afghanistan",17188
200406,"Afghanistan",2305
200407,"Afghanistan",28238
200408,"Afghanistan",12688
200409,"Afghanistan",3692
200410,"Afghanistan",16262
200411,"Afghanistan",18613
200412,"Afghanistan",23953
200501,"Afghanistan",21726
200502,"Afghanistan",54
200503,"Afghanistan",1203
200504,"Afghanistan",116739
200505,"Afghanistan",130594
200506,"Afghanistan",135868
200507,"Afghanistan",177570
200508,"Afghanistan",279307
200509,"Afghanistan",166892
200510,"Afghanistan",158254
200511,"Afghanistan",195679
200512,"Afghanistan",161367
200601,"Afghanistan",94689
200602,"Afghanistan",173656
200603,"Afghanistan",153866
200604,"Afghanistan",89257
200605,"Afghanistan",167842
200606,"Afghanistan",10435
200607,"Afghanistan",15711
200609,"Afghanistan",6928
200611,"Afghanistan",22219
200612,"Afghanistan",3382
200701,"Afghanistan",7420
200702,"Afghanistan",8562
200703,"Afghanistan",22768
200704,"Afghanistan",1362
200705,"Afghanistan",12964
200706,"Afghanistan",37150
200707,"Afghanistan",5313
200708,"Afghanistan",7374
200709,"Afghanistan",1743
200710,"Afghanistan",63513
200711,"Afghanistan",79280
200712,"Afghanistan",9318
200801,"Afghanistan",1065
200802,"Afghanistan",4494
200804,"Afghanistan",20551
200805,"Afghanistan",15576
200806,"Afghanistan",7048
200810,"Afghanistan",1169
200812,"Afghanistan",13019
200901,"Afghanistan",2627
200902,"Afghanistan",3346
200903,"Afghanistan",9091
200904,"Afghanistan",27602
200905,"Afghanistan",2564
200907,"Afghanistan",25647
200908,"Afghanistan",16351
200910,"Afghanistan",1493
201002,"Afghanistan",10135
201004,"Afghanistan",10658
201005,"Afghanistan",7066
201006,"Afghanistan",20523
201008,"Afghanistan",1279
201009,"Afghanistan",1512
201010,"Afghanistan",1064
201011,"Afghanistan",14071
201101,"Afghanistan",2206
201102,"Afghanistan",54005
201103,"Afghanistan",94899
201105,"Afghanistan",5877
201106,"Afghanistan",357
201107,"Afghanistan",6844
201108,"Afghanistan",16331
201109,"Afghanistan",10651
201112,"Afghanistan",2701
201201,"Afghanistan",25185
201202,"Afghanistan",10174
201203,"Afghanistan",22207
201204,"Afghanistan",23354
201206,"Afghanistan",3134
201207,"Afghanistan",2530
201208,"Afghanistan",36524
201209,"Afghanistan",21551
201210,"Afghanistan",2374
201211,"Afghanistan",37655
201212,"Afghanistan",30000
201301,"Afghanistan",16579
201302,"Afghanistan",336
201303,"Afghanistan",24921
201304,"Afghanistan",19137
201305,"Afghanistan",85127
201306,"Afghanistan",99372
201307,"Afghanistan",104143
201308,"Afghanistan",1081
201309,"Afghanistan",255
201310,"Afghanistan",18669
201311,"Afghanistan",3748
201312,"Afghanistan",1095
201401,"Afghanistan",2402
201402,"Afghanistan",7430
201403,"Afghanistan",54143
201404,"Afghanistan",51743
201405,"Afghanistan",77119
201406,"Afghanistan",3043
201407,"Afghanistan",12656
201409,"Afghanistan",16071
201410,"Afghanistan",1500
201411,"Afghanistan",8196
201412,"Afghanistan",1123
201501,"Afghanistan",594
201502,"Afghanistan",4077
201503,"Afghanistan",23651
201505,"Afghanistan",22470
201506,"Afghanistan",2283
201507,"Afghanistan",2145
201508,"Afghanistan",15240
201509,"Afghanistan",14787
201511,"Afghanistan",14555
201512,"Afghanistan",5318
201601,"Afghanistan",7852
201604,"Afghanistan",190
201605,"Afghanistan",1079
201606,"Afghanistan",13559
201608,"Afghanistan",1
201609,"Afghanistan",55997
201610,"Afghanistan",7013
201611,"Afghanistan",11350
201612,"Afghanistan",1542
201701,"Afghanistan",2734
201702,"Afghanistan",2317
201703,"Afghanistan",9
201704,"Afghanistan",2307
201705,"Afghanistan",25389
201706,"Afghanistan",535
201707,"Afghanistan",2246
201708,"Afghanistan",50408
201709,"Afghanistan",500
201710,"Afghanistan",31
201712,"Afghanistan",9996
201801,"Afghanistan",3204
201803,"Afghanistan",2506
201804,"Afghanistan",11933
201805,"Afghanistan",52
201806,"Afghanistan",9524
201807,"Afghanistan",92774
201808,"Afghanistan",9507
201809,"Afghanistan",11472
201810,"Afghanistan",5529
201811,"Afghanistan",3617
201812,"Afghanistan",8547
201901,"Afghanistan",9663
201902,"Afghanistan",589
201903,"Afghanistan",16387
201904,"Afghanistan",29263
201905,"Afghanistan",2564
201906,"Afghanistan",11367
201907,"Afghanistan",8752
201908,"Afghanistan",164
201909,"Afghanistan",5013
201910,"Afghanistan",5069
201911,"Afghanistan",5041
201912,"Afghanistan",835
202001,"Afghanistan",21952
202002,"Afghanistan",2730
202003,"Afghanistan",2774
202004,"Afghanistan",3190
202005,"Afghanistan",38
202006,"Afghanistan",2926
202007,"Afghanistan",8037
202008,"Afghanistan",16776
202009,"Afghanistan",37505
202010,"Afghanistan",17222
202011,"Afghanistan",1896
202012,"Afghanistan",2985
202101,"Afghanistan",4498
202102,"Afghanistan",6858
202103,"Afghanistan",1672
202104,"Afghanistan",14448
202105,"Afghanistan",2557
202106,"Afghanistan",10532
202107,"Afghanistan",9421
202108,"Afghanistan",26487
202109,"Afghanistan",6780
202110,"Afghanistan",1176
202111,"Afghanistan",13764
202112,"Afghanistan",36727
200003,"Albania",1371
200004,"Albania",726
200006,"Albania",493
200008,"Albania",477
200009,"Albania",1031
200103,"Albania",551
200108,"Albania",1068
200110,"Albania",163
200111,"Albania",1505
200112,"Albania",1031
200204,"Albania",6648
200205,"Albania",485
200206,"Albania",5847
200208,"Albania",504
200209,"Albania",526
200211,"Albania",4695
200212,"Albania",2461
200303,"Albania",223
200305,"Albania",154
200308,"Albania",1173
200309,"Albania",1085
200311,"Albania",2944
200312,"Albania",1094
200404,"Albania",2570
200405,"Albania",4493
200408,"Albania",2833
200409,"Albania",683
200410,"Albania",2318
200412,"Albania",1775
200503,"Albania",683
200505,"Albania",4732
200506,"Albania",8075
200507,"Albania",2918
200508,"Albania",11937
200509,"Albania",918
200510,"Albania",477
200511,"Albania",5240
200512,"Albania",3632
200601,"Albania",6158
200602,"Albania",14351
200603,"Albania",1918
200605,"Albania",47916
200606,"Albania",3797
200607,"Albania",963
200608,"Albania",5387
200609,"Albania",9036
200610,"Albania",774
